hello.	你好。
i go home by bus.	我坐公共汽车回家。
i am very happy.	我很高兴。
i am very sad.	我很伤心。
i am angry.	我生气了。
i am afraid.	我害怕。
i am surprised.	我很惊讶。
i feel good.	我感觉很好。
i feel tired.	我感觉累。
i like this song.	我喜欢这首歌。
i like this film.	我喜欢这部电影。
i like this city.	我喜欢这个城市。
i do not like it.	我不喜欢它。
it is very good.	它非常好。
it is very bad.	它非常糟糕。
it is interesting.	它很有趣。
it is boring.	它很无聊。
it is important.	它很重要。
it is easy.	它很容易。
it is difficult.	它很困难。
i think so.	我也这样认为。
i do not think so.	我不这样认为。
i agree with you.	我同意你。
i am sure.	我很确定。
i am not sure.	我不确定。
that is a good idea.	那是一个好主意。
it does not matter.	没关系。
what is your name?	你叫什么名字？
my name is li.	我姓李。
where are you from?	你来自哪里？
i am from china.	我来自中国。
how old are you?	你多大了？
i am ten years old.	我十岁。
what do you want?	你想要什么？
i want some water.	我想要一些水。
where is the school?	学校在哪里？
it is near my home.	它在我家附近。
who is he?	他是谁？
he is my friend.	他是我的朋友。
what is this?	这是什么？
this is a book.	这是一本书。
what are you doing?	你在做什么？
i am reading a book.	我在看书。
do you like tea?	你喜欢茶吗？
yes i like tea.	是的我喜欢茶。
no i do not.	不我不喜欢。
can you help me?	你能帮助我吗？
yes of course.	当然可以。
are you ready?	你准备好了吗？
yes i am ready.	是的我准备好了。
may i come in?	我可以进来吗？
one two three.	一二三。
i have two books.	我有两本书。
i have three pens.	我有三支笔。
there are four people.	有四个人。
there are five apples.	有五个苹果。
i see six birds.	我看到六只鸟。
i have many friends.	我有很多朋友。
i have a little money.	我有一点钱。
i want one cup of tea.	我想要一杯茶。
i need two tickets.	我需要两张票。
give me a pen please.	请给我一支笔。
there is a book on the desk.	桌子上有一本书。
there is a cat on the chair.	椅子上有一只猫。
there are many people here.	这里有很多人。
i have some questions.	我有一些问题。
she has a new bag.	她有一个新包。
he has a small dog.	他有一只小狗。
we have a big house.	我们有一个大房子。
they have two children.	他们有两个孩子。
i have no time.	我没有时间。
the book is new.	这本书是新的。
the bag is old.	这个包是旧的。
the car is fast.	这辆车很快。
the bike is slow.	这辆自行车很慢。
the water is clean.	水很干净。
the tree is tall.	这棵树很高。
the flower is red.	这朵花是红色的。
the bird is small.	这只鸟很小。
the moon is bright.	月亮很亮。
the sun is hot.	太阳很热。
the man is tall.	这个男人很高。
the woman is kind.	这个女人很和善。
the child is happy.	这个孩子很快乐。
the teacher is busy.	这个老师很忙。
the student is smart.	这个学生很聪明。
the room is quiet.	这个房间很安静。
the music is nice.	这个音乐很好听。
the story is long.	这个故事很长。
the road is wide.	这条路很宽。
the train is fast.	这列火车很快。
i open the door.	我打开门。
i close the window.	我关上窗户。
i turn on the light.	我打开灯。
i turn off the light.	我关灯。
i put on my coat.	我穿上外套。
i take off my shoes.	我脱下鞋子。
i sit on the chair.	我坐在椅子上。
i stand near the door.	我站在门附近。
i look at the sky.	我看着天空。
i listen to the teacher.	我听老师讲。
i write my name.	我写下我的名字。
i draw a picture.	我画一幅画。
i sing a song.	我唱一首歌。
i dance with my friend.	我和我的朋友跳舞。
i run in the park.	我在公园里跑步。
i swim in the river.	我在河里游泳。
i wait for the bus.	我等公共汽车。
i look for my key.	我找我的钥匙。
i find my key.	我找到了我的钥匙。
i say goodbye.	我说再见。
the child drinks milk.	这个孩子喝牛奶。
the mother cooks rice.	妈妈做米饭。
the father reads a book.	爸爸看书。
the sister sings a song.	姐姐唱歌。
the brother plays football.	哥哥踢足球。
we eat together.	我们一起吃饭。
we go to the park together.	我们一起去公园。
they play in the garden.	他们在花园里玩。
she writes a letter.	她写信。
he reads the newspaper.	他看报纸。
i call my mother.	我给我的妈妈打电话。
i help my friend.	我帮助我的朋友。
i thank my teacher.	我感谢我的老师。
i meet my friend.	我见到我的朋友。
i wait for my father.	我等我的爸爸。
i go home with my sister.	我和我的姐姐回家。
we study in the same school.	我们在同一个学校学习。
they live in the same city.	他们住在同一个城市。
he works in a big company.	他在一个大公司工作。
she studies in a good school.	她在一个好学校学习。
where do you live?	你住在哪里？
i live in beijing.	我住在北京。
when do you get up?	你什么时候起床？
what do you like?	你喜欢什么？
i like music.	我喜欢音乐。
how do you go to school?	你怎么去学校？
i go to school by bus.	我坐公共汽车去学校。
why are you late?	你为什么迟到？
who is that man?	那个男人是谁？
he is my teacher.	他是我的老师。
which book do you want?	你想要哪本书？
i want this book.	我想要这本书。
can you speak chinese?	你会说中文吗？
